X	Y p0=(0.5, 60.0,-0.1)
607.130	0.446209
608.850	0.442475
610.569	0.439562
612.289	0.437670
614.009	0.437003
615.729	0.437334
617.449	0.438513
619.169	0.440333
620.889	0.442578
622.609	0.445971
624.329	0.450326
626.049	0.456157
627.769	0.463618
629.489	0.473895
631.208	0.487518
632.928	0.504390
634.648	0.523849
636.368	0.546350
638.088	0.571616
639.808	0.599836
641.528	0.629295
643.248	0.659704
644.968	0.691840
646.688	0.723785
648.408	0.754454
650.128	0.783080
651.847	0.808236
653.567	0.831078
655.287	0.850576
657.007	0.866994
658.727	0.882071
660.447	0.894912
662.167	0.906190
663.887	0.916061
665.607	0.925463
667.327	0.933604
669.047	0.940514
670.766	0.946234
672.486	0.951158
674.206	0.955128
675.926	0.957492
677.646	0.957530
679.366	0.955192
681.086	0.950735
682.806	0.944882
684.526	0.937403
686.246	0.927435
687.966	0.914062
689.686	0.897596
691.405	0.878170
693.125	0.855938
694.845	0.830551
696.565	0.803535
698.285	0.775104
700.005	0.744791
701.725	0.715009
703.445	0.686529
705.165	0.658748
706.885	0.632283
708.605	0.608742
710.324	0.587296
712.044	0.567862
713.764	0.549970
715.484	0.534729
717.204	0.521164
718.924	0.508512
720.644	0.497331
722.364	0.487337
724.084	0.479217
725.804	0.472178
727.524	0.466259
729.244	0.462031
730.963	0.459276
732.683	0.457523
734.403	0.456385
736.123	0.456404
737.843	0.456808
739.563	0.457430
741.283	0.458408
743.003	0.460043
744.723	0.462946
746.443	0.467323
748.163	0.473305
749.883	0.480656
751.602	0.488959
753.322	0.499088
755.042	0.511392
756.762	0.525840
758.482	0.542560
760.202	0.561299
761.922	0.582623
763.642	0.606840
765.362	0.634185
767.082	0.663336
768.802	0.693696
770.521	0.724663
772.241	0.755284
773.961	0.785763
775.681	0.814160
777.401	0.838455
779.121	0.858909
780.841	0.876947
782.561	0.892770
784.281	0.906312
786.001	0.917485
787.721	0.926196
789.441	0.932855
791.160	0.938940
792.880	0.945089
794.600	0.950734
796.320	0.955147
798.040	0.958079
799.760	0.960003
801.480	0.960269
803.200	0.958909
804.920	0.955297
806.640	0.949049
808.360	0.940602
810.079	0.929712
811.799	0.916918
813.519	0.901634
815.239	0.882837
816.959	0.861335
818.679	0.837026
820.399	0.809931
822.119	0.781841
823.839	0.753981
825.559	0.725945
827.279	0.695672
828.999	0.666552
830.718	0.639108
832.438	0.614100
834.158	0.591465
835.878	0.570320
837.598	0.550725
839.318	0.533188
841.038	0.517819
842.758	0.503827
844.478	0.491432
846.198	0.481221
847.918	0.472813
849.638	0.466248
851.357	0.461118
853.077	0.456445
854.797	0.452364
856.517	0.448881
858.237	0.446236
859.957	0.444687
861.677	0.444188
863.397	0.444292
865.117	0.445053
866.837	0.446957
868.557	0.450037
870.276	0.454130
871.996	0.459815
873.716	0.466741
875.436	0.475385
877.156	0.485985
878.876	0.499733
880.596	0.516615
882.316	0.536179
884.036	0.558742
885.756	0.584328
887.476	0.612535
889.196	0.644201
890.915	0.676949
892.635	0.711804
894.355	0.745571
896.075	0.776148
897.795	0.804287
899.515	0.829506
901.235	0.850165
902.955	0.868573
904.675	0.885119
906.395	0.899757
908.115	0.913729
909.835	0.926016
911.554	0.936343
913.274	0.944963
914.994	0.952646
916.714	0.958805
918.434	0.964642
920.154	0.968804
921.874	0.970678
923.594	0.969746
925.314	0.966392
927.034	0.960804
928.754	0.953027
930.473	0.943252
932.193	0.931357
933.913	0.916752
935.633	0.901338
937.353	0.884295
939.073	0.865946
940.793	0.845800
942.513	0.824015
944.233	0.800263
945.953	0.774274
947.673	0.746606
949.393	0.717138
951.112	0.687534
952.832	0.657109
954.552	0.626801
956.272	0.596828
957.992	0.569533
959.712	0.546190
961.432	0.526256
963.152	0.509839
964.872	0.495505
966.592	0.483259
968.312	0.472962
970.031	0.463893
971.751	0.456588
973.471	0.450516
975.191	0.445481
976.911	0.441613
978.631	0.438448
980.351	0.435684
982.071	0.433938
983.791	0.432849
985.511	0.432420
987.231	0.433148
988.951	0.434580
990.670	0.436686
992.390	0.439934
994.110	0.444414
995.830	0.450353
997.550	0.458287
999.270	0.469018
1000.990	0.481879
1002.710	0.496987
1004.430	0.514437
1006.150	0.534061
1007.870	0.556752
1009.590	0.582850
1011.309	0.611113
1013.029	0.642751
1014.749	0.676012
1016.469	0.709921
1018.189	0.742255
1019.909	0.773485
1021.629	0.803190
1023.349	0.829009
1025.069	0.851729
1026.789	0.870943
1028.509	0.887931
1030.229	0.902077
1031.948	0.913378
1033.668	0.922376
1035.388	0.930039
1037.108	0.936402
1038.828	0.941905
1040.548	0.946644
1042.268	0.950748
1043.988	0.954028
1045.708	0.955721
1047.428	0.956199
1049.148	0.955277
1050.867	0.952700
1052.587	0.948410
1054.307	0.942110
1056.027	0.933442
1057.747	0.922107
1059.467	0.907729
1061.187	0.890514
1062.907	0.870901
1064.627	0.848737
1066.347	0.824462
1068.067	0.796813
1069.786	0.766057
1071.506	0.732786
1073.226	0.701803
1074.946	0.671900
1076.666	0.643648
1078.386	0.618100
1080.106	0.594105
1081.826	0.571881
1083.546	0.551501
1085.266	0.533241
1086.986	0.517182
1088.706	0.503070
1090.426	0.491187
1092.145	0.481709
1093.865	0.474130
1095.585	0.467954
